"horodateur","books-read-per-week","physical-books-or-ebooks","daily-favorite-topics-to-read","happy","sad","surprised","fear","angry","disgust"
"2023/05/02 10:59:20 PM UTC+3","5","fiziksel kitapları / physical books","Hatıralar / Memories;Klasik / Classic;Maneviyat / Spriritual;Psikoloji / Psychology;Sanat / Art;Seyahat / Travel;Şiir / Poetry","Felsefe / Philosophy;Klasik / Classic;Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Bilim / Science;Biyografi / Biography;Felsefe / Philosophy;Psikoloji / Psychology","Bilim / Science;Biyografi / Biography;Gerilim / Thriller;Gizem / Mystery;Hatıralar / Memories","Kişisel Yardımı / Personal Assistance;Psikoloji / Psychology","Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Şiir / Poetry"
"2023/05/02 11:02:54 PM UTC+3","0","fiziksel kitapları / physical books","Bilim / Science","Felsefe / Philosophy","Çizgi roman / Comic;Felsefe / Philosophy","Korku / Horror","Romantik / Romance","Fantezi / Fantasy","Kurgu / Fiction"
"2023/05/02 11:21:55 PM UTC+3","3","fiziksel kitapları / physical books","Felsefe / Philosophy;Klasik / Classic;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance","Felsefe / Philosophy;Klasik / Classic;Maneviyat / Spriritual;Şiir / Poetry","Felsefe / Philosophy;Romantik / Romance;Şiir / Poetry","Bilim / Science;Felsefe / Philosophy;Psikoloji / Psychology","Maneviyat / Spriritual","Maneviyat / Spriritual;Şiir / Poetry","Romantik / Romance"
"2023/05/02 11:32:20 PM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science","Bilim / Science","Bilim / Science","Bilim / Science","Bilim / Science","Bilim / Science","Bilimkurgu / Sci-fi"
"2023/05/03 12:02:12 AM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science;Felsefe / Philosophy;Psikoloji / Psychology;Suç / Crime;Tarih / History","Çizgi roman / Comic;Felsefe / Philosophy;Maneviyat / Spriritual;Psikoloji / Psychology;Suç / Crime;Tarih / History","Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance;Klasik / Classic;Psikoloji / Psychology","Bilim / Science;Çizgi roman / Comic","Hatıralar / Memories","Hatıralar / Memories;Kişisel Yardımı / Personal Assistance;Klasik / Classic","Biyografi / Biography;Çizgi roman / Comic;Gizem / Mystery;Hatıralar / Memories"
"2023/05/03 1:02:53 AM UTC+3","1","fiziksel kitapları / physical books","İşletme / Business","Kişisel Yardımı / Personal Assistance","Spor Dalları / Sports","Hatıralar / Memories","Korku / Horror","Psikoloji / Psychology","Suç / Crime"
"2023/05/03 4:36:54 AM UTC+3","5","e-kitapları / e-books","İşletme / Business","İşletme / Business","İşletme / Business","Maneviyat / Spriritual","Psikoloji / Psychology","Şiir / Poetry","Felsefe / Philosophy"
"2023/05/03 6:00:44 AM UTC+3","2","e-kitapları / e-books","Şiir / Poetry;Tarih / History","Şiir / Poetry","Romantik / Romance","Tarih / History","Tarih / History","Şiir / Poetry","Şiir / Poetry"
"2023/05/03 12:22:40 PM UTC+3","4","fiziksel kitapları / physical books","Felsefe / Philosophy;İşletme / Business;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Psikoloji / Psychology","Felsefe / Philosophy;İşletme / Business;Kurgusal olmayan / Nonfiction;Romantik / Romance;Spor Dalları / Sports;Şiir / Poetry","Hatıralar / Memories;Maneviyat / Spriritual;Sanat / Art;Spor Dalları / Sports;Şiir / Poetry","Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Romantik / Romance;Spor Dalları / Sports","Felsefe / Philosophy;Maneviyat / Spriritual;Spor Dalları / Sports;Şiir / Poetry","Çizgi roman / Comic;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Spor Dalları / Sports","Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual"
"2023/05/03 1:35:31 PM UTC+3","0","fiziksel kitapları / physical books","Felsefe / Philosophy;İşletme / Business;Şiir / Poetry;Tarih / History","Şiir / Poetry","Felsefe / Philosophy;Şiir / Poetry","Psikoloji / Psychology;Tarih / History","Psikoloji / Psychology;Romantik / Romance","Psikoloji / Psychology","Çizgi roman / Comic;Fantezi / Fantasy"
"2023/05/03 8:13:11 PM UTC+3","7","fiziksel kitapları / physical books","Bilim / Science;İşletme / Business;Tarih / History","Bilim / Science","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Kurgu / Fiction;Maneviyat / Spriritual","Bilim / Science;Felsefe / Philosophy","Bilim / Science;Felsefe / Philosophy;Tarih / History","Bilim / Science;Felsefe / Philosophy;Tarih / History","Hatıralar / Memories;Tarih / History"
"2023/05/03 9:57:58 PM UTC+3","0","fiziksel kitapları / physical books","Bilim / Science;İşletme / Business;Psikoloji / Psychology;Tarih / History","Psikoloji / Psychology","Tarih / History","Psikoloji / Psychology;Tarih / History","Bilim / Science","Felsefe / Philosophy;İşletme / Business","Gerilim / Thriller"
